Ontario — Household Income - Average and Median ($)  ,,,,
2021 Owners,,,,
,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Barrie,"129,000","111,000","106,400","95,000"
Belleville - Quinte West,"107,500","93,000","91,400","82,000"
Bracebridge T,"111,000","94,000","93,600","82,000"
Brantford,"116,500","102,000","97,700","89,000"
Brighton MU,"103,000","86,000","87,400","77,000"
Brock TP,"114,300","99,000","65,400","85,000"
Brockville,"104,400","87,000","88,400","77,000"
Centre Wellington,"135,400","112,000","111,300","96,000"
Chatham-Kent,"101,100","86,000","86,100","76,000"
Cobourg,"111,200","91,000","92,600","79,000"
Collingwood,"130,400","99,000","103,100","84,000"
Cornwall,"96,500","84,000","83,100","75,000"
Elliot Lake,"78,000","60,000","68,400","55,600"
Erin T,"158,200","135,000","125,600","112,000"
Gravenhurst T,"107,100","83,000","90,100","74,000"
Greater Napanee T,"102,700","92,000","87,400","81,000"
Greater Sudbury / Grand Sudbury,"126,100","110,000","104,000","94,000"
Guelph,"141,200","118,000","114,400","101,000"
Haldimand County CY,"111,600","99,000","94,700","86,000"
Hamilton,"140,200","113,000","114,700","97,000"
Hawkesbury,"85,000","72,500","73,400","64,000"
Huntsville T,"113,400","94,000","92,900","82,000"
Ingersoll,"111,600","99,000","94,500","86,000"
Kawartha Lakes,"109,200","90,000","91,200","79,000"
Kenora,"117,400","102,000","97,800","89,000"
Kincardine MU,"142,600","115,000","112,200","96,000"
Kingston,"126,600","105,000","104,000","91,000"
Kitchener - Cambridge - Waterloo,"135,000","115,000","110,600","98,000"
Lambton Shores MU,"106,300","89,000","88,600","79,000"
London,"121,300","102,000","100,200","89,000"
Meaford MU,"112,100","90,000","93,100","80,000"
Midland,"101,700","86,000","86,500","76,000"
Norfolk,"104,600","90,000","88,700","79,000"
North Bay,"112,100","96,000","94,000","84,000"
North Perth MU,"111,700","98,000","94,200","86,000"
Orillia,"101,600","89,000","86,300","79,000"
Oshawa,"137,400","120,000","113,000","102,000"
Ottawa,"151,400","128,000","121,500","108,000"
Owen Sound,"106,500","90,000","89,700","78,500"
Pembroke,"106,400","90,000","90,300","79,500"
Petawawa,"123,900","116,000","104,300","100,000"
Peterborough,"115,700","97,000","96,500","84,000"
Port Hope,"119,500","102,000","99,300","89,000"
Prince Edward County CY,"117,700","90,000","93,800","79,500"
Sarnia,"119,500","99,000","98,000","86,000"
Saugeen Shores T,"149,200","119,000","115,200","101,000"
Sault Ste. Marie,"107,700","94,000","91,000","81,000"
Scugog TP,"138,400","117,000","112,400","99,000"
South Dundas MU,"99,700","86,000","85,100","76,000"
South Huron MU,"104,300","90,000","85,500","80,000"
St. Catharines - Niagara,"109,400","92,000","92,000","81,000"
Stratford,"110,100","95,000","92,600","83,000"
The Nation / La Nation M,"122,200","115,000","102,500","98,000"
Thunder Bay,"112,700","97,000","94,600","84,000"
Tillsonburg,"101,400","87,000","86,400","76,500"
Timmins,"121,700","106,000","99,000","90,000"
Toronto,"155,400","120,000","122,400","103,000"
Trent Hills MU,"93,100","79,500","80,200","70,000"
Wasaga Beach,"94,000","79,000","80,600","70,500"
West Grey MU,"103,700","85,000","87,300","76,500"
West Nipissing / Nipissing Ouest M,"101,000","89,000","86,600","78,500"
Windsor,"119,000","98,000","100,400","86,000"
Woodstock,"113,000","100,000","95,600","87,000"
Ontario,"136,400","109,000","110,400","94,000"
